tweet_id,likes,retweets
780496263422808064,0,3395
780476555013349377,0,103
780459368902959104,4975,999
780192070812196864,8168,2068
780092040432480260,0,2115
780074436359819264,11357,4540
779834332596887552,17620,6460
779377524342161408,8193,2863
779124354206535695,0,16883
779056095788752897,13806,4184
778990705243029504,18624,6610
778774459159379968,0,9079
778764940568104960,818,337
778748913645780993,6423,1199
778650543019483137,5393,1382
778624900596654080,4316,934
778408200802557953,12785,3982
778396591732486144,0,11254
778383385161035776,5480,1011
778286810187399168,9669,3040
778039087836069888,7938,2441
778027034220126208,6159,1483
777953400541634568,0,3243
777885040357281792,5965,1508
777684233540206592,10541,2709
777641927919427584,0,3894
777621514455814149,8162,2325
777189768882946048,13221,3954
776819012571455488,0,12486
776813020089548800,4590,1109
776477788987613185,8191,2540
776249906839351296,0,8391
776218204058357768,27903,14594
776201521193218049,8972,2320
776113305656188928,11039,4001
776088319444877312,1702,141
775898661951791106,0,15413
775842724423557120,10977,2447
775733305207554048,12991,3682
775729183532220416,12197,4255
775364825476165632,6909,2696
775350846108426240,9512,3607
775085132600442880,14547,4338
774757898236878852,8087,1645
774639387460112384,6325,1603
774314403806253056,20418,5047
773985732834758656,10092,3559
773922284943896577,6021,1613
773704687002451968,6194,1483
773670353721753600,5029,1217
773547596996571136,20685,5649
773336787167145985,0,4632
773308824254029826,21860,6902
773247561583001600,8833,2982
773191612633579521,9328,3776
772877495989305348,8007,3559
772826264096874500,7537,2193
772615324260794368,0,3093
772581559778025472,6065,1574
772193107915964416,5642,1277
772152991789019136,3567,1047
772117678702071809,3528,682
772114945936949249,2569,437
772102971039580160,3751,858
771908950375665664,6148,1742
771770456517009408,11214,3123
771500966810099713,7720,2403
771380798096281600,9865,4632
771171053431250945,0,6832
771136648247640064,8556,2694
771102124360998913,5832,1322
771014301343748096,6449,1532
770787852854652928,4593,1097
770772759874076672,4857,1315
770655142660169732,6878,1658
770414278348247044,5905,1915
770293558247038976,5814,1343
770093767776997377,0,2792
770069151037685760,7101,2111
769940425801170949,29079,8763
769695466921623552,6010,1547
769335591808995329,0,7095
769212283578875904,5051,1588
768970937022709760,13300,5957
768909767477751808,0,2421
768855141948723200,3912,816
768609597686943744,3832,1091
768596291618299904,4715,1182
768554158521745409,0,5350
768473857036525572,12704,3142
768193404517830656,10138,3243
767884188863397888,4441,1261
767754930266464257,14883,4927
767500508068192258,6999,2128
767191397493538821,11457,3443
767122157629476866,9490,2623
766793450729734144,4716,1244
766714921925144576,2452,343
766693177336135680,3771,725
766423258543644672,5603,1443
766313316352462849,6317,1720
766078092750233600,0,2404
766069199026450432,3918,767
766008592277377025,3520,455
765719909049503744,6766,1976
765669560888528897,4823,1126
765395769549590528,24963,3089
765371061932261376,6637,1988
765222098633691136,10853,3093
764857477905154048,6042,1638
764259802650378240,5605,1381
763956972077010945,730,49
763837565564780549,11693,3778
763183847194451968,5034,1346
763167063695355904,0,2731
763103485927849985,6880,2101
762699858130116608,11297,3283
762471784394268675,10456,5863
762464539388485633,9588,3798
762316489655476224,4477,1026
762035686371364864,29604,14190
761976711479193600,5008,1811
761750502866649088,0,3561
761745352076779520,3995,787
761672994376806400,45988,26531
761599872357261312,3860,1093
761371037149827077,0,16533
761334018830917632,4801,1330
761292947749015552,4165,994
761227390836215808,4968,1434
761004547850530816,10589,3193
760893934457552897,3560,879
760656994973933572,6140,1734
760641137271070720,4646,1180
760539183865880579,7038,3309
760521673607086080,3897,1276
760290219849637889,24941,10503
760252756032651264,3689,791
760190180481531904,5327,1633
760153949710192640,0,29
759943073749200896,5501,1916
759846353224826880,6254,1784
759793422261743616,5551,1753
759557299618865152,4375,1096
759447681597108224,7901,2258
759446261539934208,1557,453
759197388317847553,5671,1795
759159934323924993,0,1063
759099523532779520,13548,3788
759047813560868866,6033,1837
758854675097526272,3308,834
758828659922702336,10420,3532
758740312047005698,5347,1490
758474966123810816,3537,910
758467244762497024,4456,2018
758405701903519748,4847,1747
758355060040593408,3130,952
758099635764359168,17584,9079
758041019896193024,2519,337
757741869644341248,6386,3007
757729163776290825,0,7153
757725642876129280,4231,1102
757611664640446465,4270,1003
757597904299253760,0,277
757596066325864448,4049,950
757400162377592832,14066,6273
757393109802180609,5418,1573
757354760399941633,4184,1294
756998049151549440,5842,1820
756939218950160384,6175,1827
756651752796094464,4678,1186
756526248105566208,9658,3279
756303284449767430,3665,997
756288534030475264,40974,16212
756275833623502848,5943,1396
755955933503782912,6792,2607
755206590534418437,15207,4875
755110668769038337,19582,10118
754874841593970688,0,7187
754856583969079297,6409,2299
754747087846248448,2401,474
754482103782404096,4907,1782
754449512966619136,3483,666
754120377874386944,7335,2152
753655901052166144,5424,1978
753420520834629632,7289,3217
753398408988139520,5327,1716
753375668877008896,7109,2115
753298634498793472,0,5170
753294487569522689,3099,951
753039830821511168,34392,19046
753026973505581056,3632,871
752932432744185856,11676,6256
752917284578922496,6468,1434
752701944171524096,0,2594
752682090207055872,5566,1446
752660715232722944,4053,1412
752568224206688256,5081,2074
752519690950500352,6812,3135
752334515931054080,3571,1004
752309394570878976,0,14809
752173152931807232,5511,1658
751950017322246144,2836,826
751937170840121344,4805,1189
751830394383790080,5404,1770
751793661361422336,5363,2594
751598357617971201,7368,2804
751583847268179968,4080,999
751538714308972544,4685,1143
751456908746354688,2996,917
751251247299190784,11673,5363
751205363882532864,5866,1656
751132876104687617,4702,1175
750868782890057730,4428,1238
750719632563142656,12185,4555
750506206503038976,4118,1042
750429297815552001,12218,3894
750383411068534784,4241,1036
750381685133418496,667,25
750147208377409536,2896,872
750132105863102464,3340,1169
750117059602808832,4028,1202
750101899009982464,2829,768
750086836815486976,2010,488
750071704093859840,7202,3012
750056684286914561,2938,814
750041628174217216,2946,563
750026558547456000,2513,714
750011400160841729,2993,817
749996283729883136,2819,752
749981277374128128,4763,2260
749774190421639168,4329,1201
749417653287129088,5637,1503
749403093750648834,2422,489
749395845976588288,7922,3135
749317047558017024,5075,2032
749075273010798592,5329,1871
749064354620928000,4479,1399
749036806121881602,2874,727
748977405889503236,9978,3113
748932637671223296,5384,2049
748705597323898880,2572,868
748699167502000129,4387,1448
748692773788876800,3942,1221
748575535303884801,5603,1792
748568946752774144,2033,603
748346686624440324,4819,1116
748337862848962560,7012,3710
